Local Word,English Meaning
ababe,poison
ábe  ̣́,below
ábe  ̣́,bottom
àbéké,knife
abọrọkpọ,spinning wheel
abo  ̣́wo  ̣́,armpit
àdá,"hatchet, sword"
adan,bat
adé,crown
adele,house lizard
ade  ̣́n,fried
adidun,stingy
afán,gun
afo  ̣̀máyàsé,bluff
afọsẹ,invocation
àga,"chair, stool"
àgbàdà,dagger
àgbàn,"cheek, chin, jaw"
agbedé,"needle, syringe"
àgbo,herb
ágbùkè,hunchback
aghara,bawdy
aghéré,"hut, shed"
ághígho  ̣́n órí,skull
ághígho  ̣́n,shell
aghò,ceremony
aghọ,"hide, leather"
àghò/ úrún o  ̣́do  ̣́n,festival
agho  ̣̀he  ̣̀ tábà,sandal
agho  ̣̀he  ̣̀,shoe
ágho  ̣́n,tortoise
agiyán,anthill
agó,"hip, waist"
agogo,"bell, clock, gong"
ago  ̣́wo  ̣́,watch
àgùntàn,sheep
ahíke  ̣́,hiccup
àhìto  ̣̀,foundation
ahuanhan,scissors
áká,"shoulder, wing"
akakara,crab
ákán,hawk
akan,kidney
akata,hornet
akatakpo,iguana
akayan,thatch
àkèré,"frog, toad"
ákíko  ̣́,"cock, rooster"
akọ ẹfàn,bull
akọ élá,ox
akọ,"male, sheath"
ako  ̣̀halẹ,rake
akoko,heap
ako  ̣̀wé,"clerk, lecturer, teacher"
àkpákpa,"butterfly, spider"
àkpárà,thunder
akpata oyi,horriplate
àkpáta,"loft, shelf"
ákpatì,"chest, for storage"
akpẹ,spindle
akpe  ̣́de  ̣́,bow
akpẹran,butcher
akpẹrẹ gbọrọ,centipede
akpe  ̣̀re  ̣̀,fish basket
àkpe  ̣́re  ̣̀,horn pipe
ákpe  ̣̀re  ̣̀,scorpion
àkpò egho  ̣́,wallet
àkpò ẹrùn,luggage
akpò,"bag, pocket, sack, satchel, treasury, trail"
àkpo  ̣̀fo  ̣́n,adam's apple
àkpòjèté,jute
àkpo  ̣̀ma,"uterus, womb"
àkpómí,canal
ákpòtì,box
àkpo  ̣́wo  ̣́,elbow
àkpùdu,lung
àkpùko  ̣́wo  ̣́,knuckle
àkúpe  ̣́,fan
àkwàn,bridge
àlàgó,skirt
ale  ̣̀ orie,plain
ale  ̣́,"base, earth, field, floor, ground, land, plot"
ále  ̣́,night
ále  ̣́rungbe  ̣̀,orchard
àlùbásà,onion
alùkpùkpù,motorcycle
ama,list
ama,sign
amaran,"pillar, post"
amùmà,lighting
ámúnámúná,firefly
àná,yesterday
áná,in law
ànọkùnrẹn,brother-in-law
ányarìn,"albinism, albino"
apapá,groundnut
ara gbígbóná,fever
ara,"body, self"
arakpo,mumps
ararẹ̀,yourself
araríro  ̣̀,fatigue
araro  ̣̀,tired
arawa,ourselves
are órí,ringworm
áré,dash
áre  ̣̀n,"go, leave"
arẹran,flesh
árígbó,old age
ariwo,"noise, sound"
árọ́,story
arogungun,skeleton
arọmákò,disabled
arosho,pure
