Local Word,English Meaning
ababe,poison
ábe  ̣́,below
ábe  ̣́,bottom
àbéké,knife
abọrọkpọ,spinning wheel
abo  ̣́wo  ̣́,armpit
àdá,hatchet
àdá,sword
adan,bat
adé,crown
adele,house lizard
ade  ̣́n,fried
adidun,stingy
afán,gun
afo  ̣̀máyàsé,bluff
afọsẹ,invocation
àga,chair
àga,stool
àgbàdà,dagger
àgbàn,cheek
àgbàn,chin
àgbàn,jaw
agbedé,needle
agbedé,syringe
àgbo,herb
ágbùkè,hunchback
aghara,bawdy
aghéré,hut
aghéré,shed
ághígho  ̣́n órí,skull
ághígho  ̣́n,shell
aghò,ceremony
aghọ,hide
aghọ,leather
àghò/ úrún o  ̣́do  ̣́n,festival
agho  ̣̀he  ̣̀ tábà,sandal
agho  ̣̀he  ̣̀,shoe
ágho  ̣́n,tortoise
agiyán,anthill
agó,hip
agó,waist
agogo,bell
agogo,clock
agogo,gong
ago  ̣́wo  ̣́,watch
àgùntàn,sheep
ahíke  ̣́,hiccup
àhìto  ̣̀,foundation
ahuanhan,scissors
áká,shoulder
áká,wing
akakara,crab
ákán,hawk
akan,kidney
akata,hornet
akatakpo,iguana
akayan,thatch
àkèré,frog
àkèré,toad
ákíko  ̣́,cock
ákíko  ̣́,rooster
akọ ẹfàn,bull
akọ élá,ox
akọ,male
akọ,sheath
ako  ̣̀halẹ,rake
akoko,heap
ako  ̣̀wé,clerk
ako  ̣̀wé,lecturer
ako  ̣̀wé,teacher
àkpákpa,butterfly
àkpákpa,spider
àkpárà,thunder
akpata oyi,horriplate
àkpáta,loft
àkpáta,shelf
ákpatì,chest
ákpatì,for storage
akpẹ,spindle
akpe  ̣́de  ̣́,bow
akpẹran,butcher
akpẹrẹ gbọrọ,centipede
akpe  ̣̀re  ̣̀,fish basket
àkpe  ̣́re  ̣̀,horn pipe
ákpe  ̣̀re  ̣̀,scorpion
àkpò egho  ̣́,wallet
àkpò ẹrùn,luggage
akpò,bag
akpò,pocket
akpò,sack
akpò,satchel
akpò,treasury
akpò,trail
àkpo  ̣̀fo  ̣́n,adam's apple
àkpòjèté,jute
àkpo  ̣̀ma,uterus
àkpo  ̣̀ma,womb
àkpómí,canal
ákpòtì,box
àkpo  ̣́wo  ̣́,elbow
àkpùdu,lung
àkpùko  ̣́wo  ̣́,knuckle
àkúpe  ̣́,fan
àkwàn,bridge
àlàgó,skirt
ale  ̣̀ orie,plain
ale  ̣́,base
ale  ̣́,earth
ale  ̣́,field
ale  ̣́,floor
ale  ̣́,ground
ale  ̣́,land
ale  ̣́,plot
ále  ̣́,night
ále  ̣́rungbe  ̣̀,orchard
àlùbásà,onion
alùkpùkpù,motorcycle
ama,list
ama,sign
amaran,pillar
amaran,post
amùmà,lighting
ámúnámúná,firefly
àná,yesterday
áná,in law
ànọkùnrẹn,brother-in-law
ányarìn,albinism
ányarìn,albino
apapá,groundnut
ara gbígbóná,fever
ara,body
ara,self
